"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2001","15.37","15.32","15.37","15.25","","0.33%"
"12/03/2001","15.02","15.37","15.32","15.00","1.89M","-2.28%"
"12/04/2001","15.00","15.02","15.07","14.85","","-0.13%"
"12/05/2001","15.10","15.00","15.22","15.00","644.46K","0.67%"
"12/06/2001","15.15","15.10","15.15","15.12","15.13K","0.33%"
"12/09/2001","15.20","15.22","15.22","15.00","","0.33%"
"12/10/2001","15.12","15.20","15.27","15.10","","-0.53%"
"12/19/2001","15.22","15.20","15.25","15.20","134.30K","0.66%"
"12/20/2001","15.20","15.22","15.25","15.20","107.62K","-0.13%"
"12/23/2001","15.42","15.37","15.45","15.37","380.50K","1.45%"
"12/25/2001","15.32","15.37","15.50","15.27","682.61K","-0.65%"
"12/26/2001","15.35","15.32","15.37","15.32","335.88K","0.20%"
"12/27/2001","15.55","15.35","15.60","15.35","1.40M","1.30%"
"12/30/2001","15.65","15.65","15.70","15.55","834.84K","0.64%"
"12/31/2001","15.55","15.65","15.67","15.55","","-0.64%"
"01/01/2002","15.60","15.55","15.60","15.52","313.22K","0.32%"
"01/02/2002","15.65","15.60","15.72","15.57","1.36M","0.32%"
"01/03/2002","15.75","15.65","15.77","15.65","757.27K","0.64%"
"01/05/2002","15.82","15.75","15.92","15.80","1.37M","0.44%"
"01/06/2002","15.77","15.82","15.85","15.77","875.68K","-0.32%"
"01/07/2002","15.72","15.77","15.80","15.70","632.61K","-0.32%"
"01/08/2002","15.67","15.72","15.77","15.67","438.45K","-0.32%"
"01/09/2002","15.67","15.67","15.72","15.67","215.21K","0.00%"
"01/10/2002","15.70","15.67","15.72","15.67","107.98K","0.19%"
"01/12/2002","15.60","15.70","15.70","15.60","409.91K","-0.64%"
"01/13/2002","15.57","15.60","15.60","15.55","404.93K","-0.19%"
"01/14/2002","15.60","15.57","15.62","15.57","498.01K","0.19%"
"01/15/2002","15.62","15.60","15.67","15.62","373.47K","0.13%"
"01/16/2002","15.57","15.62","15.62","15.50","690.98K","-0.32%"
"01/17/2002","15.60","15.57","15.60","15.55","49.31K","0.19%"
"01/19/2002","15.55","15.60","15.60","15.50","","-0.32%"
"01/20/2002","15.40","15.55","15.52","15.32","720.60K","-0.96%"
"01/21/2002","15.37","15.40","15.52","15.32","445.67K","-0.19%"
"01/22/2002","15.10","15.37","15.57","15.00","1.67M","-1.76%"
"01/23/2002","15.15","15.10","15.25","15.10","","0.33%"
"01/24/2002","15.22","15.15","15.22","15.15","","0.46%"
"01/27/2002","15.25","15.30","15.30","15.20","232.21K","0.20%"
"01/28/2002","15.25","15.25","15.30","15.20","324.38K","0.00%"
"01/29/2002","15.25","15.25","15.30","15.22","267.42K","0.00%"
"01/30/2002","15.27","15.25","15.27","15.20","298.50K","0.13%"
"01/31/2002","15.20","15.27","15.25","15.20","40.49K","-0.46%"
"02/02/2002","15.30","15.20","15.52","15.22","338.42K","0.66%"
"02/04/2002","15.22","15.20","15.30","15.22","225.60K","-0.52%"
"02/05/2002","15.00","15.22","15.25","14.95","709.57K","-1.45%"
"02/06/2002","15.05","15.00","15.10","14.97","471.40K","0.33%"
"02/07/2002","15.00","15.05","15.05","15.00","165.33K","-0.33%"
"02/09/2002","15.07","15.00","15.10","15.00","418.28K","0.47%"
"02/10/2002","15.07","15.07","15.10","15.05","500.00K","0.00%"
"02/11/2002","15.00","15.07","15.07","14.90","530.34K","-0.46%"
"02/12/2002","14.95","15.00","15.00","14.92","95.89K","-0.33%"
"02/13/2002","14.55","14.95","15.00","14.40","1.28M","-2.68%"
"02/16/2002","14.65","14.67","14.72","14.60","257.89K","0.69%"
"02/17/2002","14.50","14.65","14.62","14.50","281.59K","-1.02%"
"02/18/2002","14.60","14.50","14.60","14.50","","0.69%"
"02/19/2002","14.62","14.60","14.62","14.52","221.27K","0.14%"
"02/26/2002","14.60","14.62","14.67","14.60","","-0.14%"
"02/27/2002","14.57","14.60","14.67","14.55","","-0.21%"
"02/28/2002","14.60","14.57","14.60","14.57","","0.21%"
"03/03/2002","14.60","14.70","14.72","14.60","","0.00%"
"03/04/2002","14.67","14.60","14.67","14.60","","0.48%"
"03/06/2002","14.97","14.80","15.00","14.80","681.55K","2.04%"
"03/07/2002","14.97","14.97","15.05","14.95","134.86K","0.00%"
"03/09/2002","15.30","14.97","15.50","14.97","1.25M","2.20%"
"03/10/2002","15.37","15.47","15.50","15.35","1.01M","0.46%"
"03/11/2002","15.35","15.47","15.50","15.35","0.92K","-0.13%"
"03/13/2002","15.05","15.32","15.40","14.70","1.51K","-1.95%"
"03/14/2002","15.05","15.05","15.10","15.02","405.93K","0.00%"
"03/16/2002","15.15","15.05","15.15","15.05","736.67K","0.66%"
"03/17/2002","15.20","15.15","15.27","15.15","676.85K","0.33%"
"03/18/2002","15.15","15.20","15.25","15.15","662.84K","-0.33%"
"03/19/2002","15.20","15.17","15.22","15.15","759.05K","0.33%"
